timestamp,dataset,params,hidden_dim,num_layers,batch_size,lr,weight_decay,patience,dropout,max_epochs,best_val_loss,duration_sec,R2_PG_seen,R2_VG_seen,Pacc_PG_seen,Pacc_VG_seen,Physics_MW_seen,R2_PG_unseen,R2_VG_unseen,Pacc_PG_unseen,Pacc_VG_unseen,Physics_MW_unseen,ckpt_path,log_dir
2025-12-16 21:52:26,case6ww,29516,98,3,32,0.001,0.0,20,0.0,25,nan,125.6,0.9865,0.9999,99.13,99.98,71.50,0.9357,0.9999,86.67,99.94,70.60,lightning_logs\version_50\checkpoints\epoch17-val0.0000.ckpt,lightning_logs\version_50
2025-12-17 10:47:14,case39,2436194,512,4,256,0.0001,0.0,300,0.0,2000,nan,1146.8,0.9454,0.9858,31.80,31.85,154.72,0.7942,0.8882,25.98,16.18,154.64,lightning_logs\version_62\checkpoints\epoch1400-val0.0000.ckpt,lightning_logs\version_62
